Df: 2.2
kf: 1.13
n: 20
k: 0.9
a: 15

Rg: 55.3786

X Y Z
0 0 0
-11.3517 23.8424 -5.62849
12.0763 -23.5403 5.38654
-11.2554 37.4527 17.6899
-20.754 25.9589 40.1993
-8.44576 29.6826 -31.8286
-10.8572 5.76287 -44.1181
-30.1479 27.5988 -47.7558
-34.3116 2.62571 39.3316
2.33272 18.9449 52.3156
4.95615 -16.0308 -46.1112
-42.9817 4.64849 -53.8858
6.72025 1.31459 -66.7274
-5.39828 -6.9171 52.9392
-46.128 27.978 49.204
22.4619 36.9394 52.1879
-23.2658 1.77051 71.2224
-19.7508 -6.79231 -66.3053
20.3476 62.9881 45.4061
-52.1777 40.9009 -55.9254
