Df: 2.6
kf: 1.13
n: 50
k: 0.7
a: 30

Rg: 128.871

X Y Z
0 0 0
-25.2663 -33.461 2.44465
24.7706 33.8596 -1.98644
49.6038 67.6721 -3.99249
42.0132 84.4904 33.7372
-29.528 -18.1682 -36.4394
29.5182 104.638 -0.932271
9.94636 -52.6881 14.8698
41.6233 71.5342 73.687
21.7304 107.49 62.4358
68.0609 111.072 53.203
45.6214 129.003 -31.115
108.416 100.527 48.2751
121.444 67.6693 70.9605
20.1948 140.015 88.965
79.8199 126.461 -55.3637
113.892 42.7606 103.923
123.948 5.67327 86.9696
160.335 81.0007 62.3717
17.0101 134.613 -61.3461
16.5093 126.346 128.507
-34.8705 -25.7668 42.6013
-58.5776 -9.07519 10.1708
-69.2977 -5.16629 55.0266
-69.819 4.33678 -28.0097
-15.1118 158.588 102.098
105.22 43.1361 145.016
92.2319 80.3436 159.539
54.8996 90.4088 175.94
-4.4707 192.772 80.1387
176.853 73.6033 24.4713
-30.3489 151.378 140.567
45.368 -71.716 2.73517
133.933 75.3666 160.054
151.878 39.2371 148.366
-33.1412 122.556 170.989
-7.38661 195.833 121.925
-3.87538 173.265 164.735
75.3673 103.017 210.38
-70.427 145.957 151.896
74.0392 62.7236 222.156
110.216 125.939 205.467
-49.7355 186.804 152.104
5.98021 -46.9511 -26.5471
-11.3425 233.548 72.7808
-92.3256 39.7761 -26.7804
-93.4457 119.177 174.634
-108.732 -18.3608 60.9284
-58.682 -57.5858 10.5307
-49.5383 219.404 125.623
